input_id,source_name,source_type,path_or_locator,source_hash,source_hash_kind,bytes,member_count,central_directory_status,priority,window_relevance,terminal_use_status,opened_or_consumed,notes
0,00_统一上传总控与校验信息_20260712.zip,ZIP,/mnt/data/00_统一上传总控与校验信息_20260712.zip,0a04c7dd0509918691b54b5be57a64a4b980a601a823633c735f81b5b0bf834f,FULL_FILE_SHA256,25479,13,READABLE,P1_PROVENANCED_STRUCTURED,control manifest and archive integrity records,USED_DIRECTLY,YES,Hash and inventory recovered from prior machine-verifiable project ledger.
1,S02_PLATFORM_CORE_WEB_RETURN_PLOT_CODE_450_500MB_20260712.zip,ZIP,/mnt/data/S02_PLATFORM_CORE_WEB_RETURN_PLOT_CODE_450_500MB_20260712.zip,bfb52675d1fc0dc309287904accecd16698a1e2e525696d29070be14c50234c1,FULL_FILE_SHA256,510259317,32,READABLE,P3_PLATFORM_CODE,plot and return-package conventions,USED_AS_REFERENCE,YES,Fresh deterministic plot scripts are generated in this window; no production code modified.
2,S03_CODEX_ML_DATA_FEATURES_01_450_500MB_20260712.zip,ZIP,/mnt/data/S03_CODEX_ML_DATA_FEATURES_01_450_500MB_20260712.zip,36cd2294edaae1b3ad74d9f519d6c0669863630224ca688f50d654042cf166a9,FULL_FILE_SHA256,515903028,15,READABLE,P2_EXECUTABLE_ARTIFACT,frozen matrices features and quality domains,USED_AS_REFERENCE,YES,Canonical QM21 row snapshot was not exposed; feature-domain rules informed overlap schema only.
3,S03_CODEX_ML_DATA_FEATURES_02_450_500MB_20260712.zip,ZIP,/mnt/data/S03_CODEX_ML_DATA_FEATURES_02_450_500MB_20260712.zip,5cd883da72d45c2915fe44975c5a81c41b8e87bfe0f0ef444db9669db26dbb59,FULL_FILE_SHA256,515906034,25,READABLE,P2_EXECUTABLE_ARTIFACT,TMC subset and firewalled feature conventions,USED_AS_REFERENCE,YES,No production model trained or registered.
4,S03_CODEX_ML_HARNESS_EVIDENCE_01_450_500MB_20260712.zip,ZIP,/mnt/data/S03_CODEX_ML_HARNESS_EVIDENCE_01_450_500MB_20260712.zip,cf3d8e2fbc5be40e12c19b850af977f6884556442aa59676ba95b55cdeadbc3a,FULL_FILE_SHA256,515901682,7,READABLE,P2_EXECUTABLE_ARTIFACT,source reliability and validation conventions,USED_AS_REFERENCE,YES,Used to shape evidence-tier and validation gates.
5,S03_CODEX_ML_HARNESS_EVIDENCE_02_450_500MB_20260712.zip,ZIP,/mnt/data/S03_CODEX_ML_HARNESS_EVIDENCE_02_450_500MB_20260712.zip,97d15f6de609eae14cd3026a49e72cd9cd2e5c3464ca060a3d6d5cda669b2809,ZIP_CENTRAL_DIRECTORY_SHA256,515901786,7,READABLE,P2_EXECUTABLE_ARTIFACT,condition canonicalization infrastructure,USED_AS_REFERENCE,YES,Used for condition UID and comparison-class conventions.
6,S03_CODEX_ML_HARNESS_EVIDENCE_03_450_500MB_20260712.zip,ZIP,/mnt/data/S03_CODEX_ML_HARNESS_EVIDENCE_03_450_500MB_20260712.zip,16019caeb61ad857a48a95cf42a1c96438593e7cb02ff21b934a2d9562d6316f,ZIP_CENTRAL_DIRECTORY_SHA256,515902128,9,READABLE,P2_EXECUTABLE_ARTIFACT,mechanism and condition evidence,USED_AS_REFERENCE,YES,Used for mechanism-feature vocabulary only.
7,S03_CODEX_ML_HARNESS_EVIDENCE_04_450_500MB_20260712.zip,ZIP,/mnt/data/S03_CODEX_ML_HARNESS_EVIDENCE_04_450_500MB_20260712.zip,04184a08b67516bb4fc4ec0ec9dee526821f302489f5a96ea6418a6fa56c24a9,ZIP_CENTRAL_DIRECTORY_SHA256,515903238,11,READABLE,P2_EXECUTABLE_ARTIFACT,UQ and cluster-validation conventions,USED_AS_REFERENCE,YES,Used for paper-cluster and LOPO stress-test design.
8,S03_CODEX_ML_HARNESS_EVIDENCE_05_450_500MB_20260712.zip,ZIP,/mnt/data/S03_CODEX_ML_HARNESS_EVIDENCE_05_450_500MB_20260712.zip,5ffe8e7a0be2638f42b10fb0ac870f8c8ea15524b00d86977c82a45bd336d728,ZIP_CENTRAL_DIRECTORY_SHA256,515905052,17,READABLE,P2_EXECUTABLE_ARTIFACT,UQ AD and nearest-analog infrastructure,USED_AS_REFERENCE,YES,Used for support-domain flags; unrelated model artifacts excluded.
9,S03_CODEX_ML_HARNESS_EVIDENCE_06_450_500MB_20260712.zip,ZIP,/mnt/data/S03_CODEX_ML_HARNESS_EVIDENCE_06_450_500MB_20260712.zip,e41b52604a26aab1e665b7a2ddde6487bfd396a3a66eca465577ff1ce4e51847,ZIP_CENTRAL_DIRECTORY_SHA256,515913392,38,READABLE,P2_EXECUTABLE_ARTIFACT,UQ AD and source audit infrastructure,USED_AS_REFERENCE,YES,No predictive artifact consumed as experimental evidence.
10,S03_CODEX_ML_HARNESS_EVIDENCE_07_450_500MB_20260712.zip,ZIP,/mnt/data/S03_CODEX_ML_HARNESS_EVIDENCE_07_450_500MB_20260712.zip,36cd504237f79f81acc45b0cd1994a4849376704e83b18278b77b414d11f4485,ZIP_CENTRAL_DIRECTORY_SHA256,515924832,69,READABLE,P2_EXECUTABLE_ARTIFACT,UQ AD and nearest-analog infrastructure,USED_AS_REFERENCE,YES,Used for extrapolation policy.
